country (nominal),tests (discrete data),population (discrete data),Population density (per sq km) (continuous data),Median age (continuous data),%urban pop. (continuous data),Gini (discrete data),% always or frequently wearing facemask outside (continuous data),Vaccine acceptance (%) general public (continuous data),Number of days in Lockdown (discrete data),C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,M1_Wildcard,StringencyIndex,StringencyLegacyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
Albania,"506,676","2,875,589",107,36.399,61,0.637,,,,2,1,1,1,2,1,4,1,0,,2,1,0,,3,1,1,2,0,0,2,1,2,2,0,0,4,1,1,1,3,1,,60.19,67.86,67.4,66.31,75
Austria,"6,033,827","9,042,407",106,43.483,59,0.739,,,203,3,0,2,1,2,1,4,1,1,1,2,1,1,0,3,2,1,2,0,0,2,1,3,2,0,0,3,1,2,1,3,1,,74.07,80.95,80.1,77.26,100
Belgium,"10,110,146","11,624,988",384,41.928,98,0.603,,,232,1,1,2,1,2,1,4,1,0,,2,1,0,,4,2,1,1,0,0,2,1,2,2,0,0,3,1,2,1,2,1,,62.96,71.43,66.56,65.36,75
Bosnia and Herzegovina,"702,920","3,266,449",75,43.108,49,0.642,,,71,1,1,2,0,1,1,3,1,0,,2,0,0,,1,1,1,1,0,0,2,1,2,0,0,0,3,1,1,1,3,0,,42.59,50.71,45.52,44.88,50
Croatia,"1,431,342","4,087,440",75,44.291,57,0.645,,,,1,1,2,1,1,1,4,1,0,,0,,0,,3,1,0,1,0,0,2,1,3,0,0,0,3,1,2,1,3,1,,47.22,57.14,50.94,52.86,37.5
Cyprus,"2,563,270","1,213,513",131,37.9,67,0.801,,,306,2,1,2,1,2,1,4,1,1,1,2,1,2,1,3,2,1,2,0,0,2,1,3,2,0,0,3,1,3,1,3,1,,80.56,84.52,85,82.86,100
Czechia,"9,665,502","10,722,926",136,43.203,74,0.725,,,165,3,1,2,1,2,1,4,1,1,0,2,1,2,1,3,2,0,1,0,0,2,1,2,2,0,0,4,1,2,1,3,1,,81.48,83.33,79.06,81.43,62.5
Denmark,"20,418,687","5,806,809",136,42.298,88,0.838,83.9,80,,2,1,3,1,2,1,4,1,0,,1,1,0,,4,2,1,0,0,0,2,1,3,1,0,0,2,1,3,1,2,1,,66.67,75,64.17,66.19,50
Estonia,"1,038,888","1,327,161",27,42.424,69,0.716,,,,1,1,2,1,1,1,2,1,0,,0,,0,,3,0,,2,0,0,2,1,2,1,0,0,2,1,2,1,0,,,41.67,52.38,42.6,41.55,50
Finland,"3,596,402","5,546,762",16,43.128,85,0.742,79.1,,,2,0,2,0,2,1,4,0,0,,1,1,0,,3,2,1,1,0,0,2,1,2,1,0,0,1,1,2,1,2,1,,55.09,60.71,55.89,53.15,75
France,"57,231,533","65,374,874",105,42.338,81,0.696,94.7,76.9,200,1,1,2,1,2,1,4,1,0,,2,1,0,,3,2,1,0,0,0,2,1,3,1,0,0,4,0,3,1,2,1,,60.19,67.86,62.86,64.7,50
Germany,"46,319,641","83,971,874",225,45.744,77,0.816,89,70,124,3,1,3,1,2,1,4,1,1,1,2,0,2,0,3,2,0,0,0,0,2,1,1,1,0,0,2,1,2,1,2,1,,83.33,86.9,66.56,70.71,37.5
Greece,"5,856,618","10,387,221",80,45.55,79,0.654,,,303,3,1,2,1,2,1,4,1,1,1,2,1,2,0,3,2,0,2,0,0,2,1,2,2,0,0,3,1,3,1,3,1,,81.48,84.52,81.88,81.07,87.5
Hungary,"4,104,415","9,643,103",105,43.336,72,0.663,,,211,2,1,2,1,2,1,4,1,1,1,2,1,0,,4,1,0,1,0,0,2,1,2,1,0,0,2,1,3,1,3,1,,72.22,84.52,65.73,69.76,37.5
Ireland,"3,720,861","4,976,339",74,38.246,63,0.796,,,193,3,1,3,1,2,1,4,1,1,1,2,1,2,1,3,2,1,2,0,0,2,1,2,2,0,0,3,1,2,1,3,1,,87.96,91.67,85.83,83.81,100
Italy,"44,623,304","60,399,338",207,47.288,71,0.669,97,77.3,318,2,0,2,1,2,1,4,1,1,1,2,1,2,1,3,1,1,2,0,0,2,1,2,2,0,0,4,0,2,1,3,1,,78.7,80.95,78.28,78.75,75
Latvia,"1,670,193","1,871,486",29,43.941,68,0.789,,,45,2,1,2,1,2,1,4,1,0,,0,,0,,3,2,1,2,0,0,2,1,2,1,0,0,3,1,1,1,0,,,56.48,60.71,57.5,51.43,100
Lithuania,"2,218,746","2,695,463",42,45.051,68,0.663,,,117,2,1,2,1,2,1,4,1,0,,2,1,2,1,2,1,0,2,0,0,1,1,2,1,0,0,3,1,2,1,3,1,,66.67,66.67,66.04,66.55,62.5
Luxembourg,"2,248,588","633,079",243,39.729,91,0.67,,,217,2,1,2,1,1,1,3,1,1,1,2,1,0,,3,1,0,2,0,0,2,1,3,2,0,0,2,1,2,1,1,1,,61.11,78.1,62.4,62.38,62.5
Moldova,"771,763","4,027,371",99,37.597,43,0.645,,,,1,1,2,1,1,1,4,1,0,,1,0,1,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,,3,1,,51.85,61.9,48.96,50.6,37.5
Netherlands,"6,970,400","17,161,479",416,43.314,92,0.902,91.9,73,79,2,1,3,1,2,1,4,1,1,1,2,1,1,1,3,2,1,1,0,0,2,1,2,1,0,0,2,1,2,1,2,1,,78.7,84.52,70.73,70.12,75
Norway,"4,115,415","5,450,917",17,39.836,83,0.798,52.1,,,2,1,3,0,2,1,4,1,1,1,1,1,1,1,3,2,0,0,0,0,2,1,2,2,0,0,2,0,2,1,2,1,,73.15,79.76,65.26,69.23,37.5
Poland,"10,668,987","37,817,481",122,41.678,60,0.677,,56.3,25,2,1,2,1,2,1,4,1,1,1,1,1,1,1,3,2,1,1,0,0,2,1,2,1,0,0,2,1,2,1,3,1,,71.3,79.76,68.65,67.74,75
Portugal,"8,480,932","10,175,800",112,46.158,66,0.692,,75,118,3,1,3,1,2,1,4,1,1,1,2,1,0,,3,1,1,2,0,0,2,1,3,1,0,0,3,1,3,1,2,1,,76.85,88.1,74.58,74.52,75
Romania,"6,774,562","19,147,305",89,43.171,54,0.647,,,201,3,1,2,1,2,1,4,1,0,,2,0,2,1,3,2,0,2,0,0,2,1,2,2,0,0,4,1,3,1,1,1,,76.85,78.57,76.67,75.12,87.5
Serbia,"3,149,048","8,712,609",91,41.575,56,0.676,,,,1,1,2,1,2,1,4,1,0,,1,1,1,1,1,2,0,1,0,0,2,1,2,2,0,0,3,1,4,1,2,1,,56.48,59.52,63.85,64.05,62.5
Slovak Republic,"2,200,380","5,461,499",111,41.249,54,0.498,,,115,3,0,2,1,2,1,4,1,0,,2,1,2,0,2,2,0,2,0,0,2,1,3,2,0,0,4,1,2,1,3,1,,71.3,67.86,78.54,77.26,87.5
Slovenia,"976,907","2,079,139",104,44.539,55,0.662,,,46,2,0,2,1,2,1,4,1,1,1,1,1,2,1,2,2,1,1,0,0,2,1,3,1,0,0,4,1,3,1,2,1,,72.22,77.38,73.54,73.33,75
Spain,"40,292,390","46,767,497",99,44.858,81,0.694,98.2,74.5,272,1,1,2,1,2,1,4,1,0,,2,1,2,1,3,2,0,2,0,0,2,1,2,1,0,0,4,1,2,1,1,1,,71.3,71.43,69.17,66.55,87.5
Sweden,"6,627,544","10,143,382",23,41.078,88,0.867,23.2,65.2,,2,0,2,1,2,1,4,1,1,1,1,1,1,1,3,2,0,0,0,0,2,1,2,1,0,0,1,1,2,1,3,0,,69.44,76.19,60.31,63.57,37.5
Switzerland,"5,387,481","8,698,941",219,43.053,74,0.705,,,,2,1,2,1,2,1,4,1,0,,1,1,0,,3,2,0,0,0,0,2,1,2,2,0,0,3,1,2,1,2,1,,60.19,67.86,60.31,63.57,37.5
UK,"103,053,938","68,135,945",270,40.467,84,0.746,80.8,79,256,3,1,3,1,2,1,4,1,1,1,2,1,2,1,3,2,1,2,0,0,2,1,2,1,0,0,3,1,3,1,3,1,,87.96,91.67,83.96,81.67,100
Ukraine,"7,328,468","43,548,757",73,41.178,69,0.847,,,,2,1,2,1,1,1,3,1,1,1,1,1,0,,2,1,0,1,0,0,2,1,3,2,0,0,2,1,0,,2,1,,54.63,70.95,55.21,57.74,37.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
