States (nominal data),Tests (discrete data),Population (discrete data),Population density (per sq km) (continuous data),Median age (continuous data),% urban population (continuous data),Gini - gov 2019 (continuous data),% always or frequently wearing facemask outside (continuous data),Vaccine acceptance (%) (continuous data),Predicted cases (tests & population) (discrete data),Actual cases (measured) (discrete data),C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,M1_Wildcard,StringencyIndex,StringencyLegacyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
Alabama,2311207,4903185,37.45190938,39,59,0.474,90.7,76.18,393667,486843,2,0,1,1,1,1,0,,1,0,1,1,0,,0,1,0,0,0,0,2,1,2,1,0,0,3,1,2,1,2,1,,32.41,50,38.44,42.14,12.5
Alaska,1724484,731545,0.386102159,34.3,66,0.438,91.1,83.35,70137,55198,2,0,1,0,2,0,3,0,0,,1,0,2,1,2,1,0,1,0,0,2,1,3,1,0,0,3,0,3,1,2,1,,52.31,55.95,55.31,57.86,37.5
Arizona,7775843,7278717,25.48274246,37.7,89.8,0.459,93.3,82.47,620304,807967,2,0,2,1,2,1,3,1,0,,0,,0,,0,1,0,0,,,2,1,3,2,,,3,0,2,1,2,1,,43.52,46.43,49.11,54.35,12.5
Arkansas,2719229,3017804,22.3939252,38.1,56.2,0.475,88.6,77.53,253011,315514,2,0,2,0,1,1,4,1,1,0,1,1,0,,0,0,,1,,,2,1,3,2,,,3,1,3,1,3,1,,45.37,54.76,55.83,60.24,25
California,49147685,39512223,98.06994827,36.5,95,0.487,96.4,87.71,3.42E+06,3441946,3,0,2,0,2,0,3,0,0,,1,1,2,0,2,2,0,2,0,0,2,1,3,1,0,0,3,1,2,1,3,0,,58.8,58.33,65.78,62.68,87.5
Colorado,6310233,5758736,22.00782304,36.7,86.2,0.455,94,84.63,492076,420614,2,0,2,0,1,1,4,0,1,0,1,1,0,,0,1,0,2,,,2,1,2,1,,,3,1,2,1,2,1,,43.98,51.9,51.2,49.58,62.5
Connecticut,6478498,3565287,283.3989844,41,88,0.502,97,89.91,325904,273101,2,0,2,1,1,1,4,1,1,1,1,0,2,1,2,1,1,2,,,2,1,3,2,,,3,1,2,1,2,1,,64.81,77.38,69.69,68.93,75
Delaware,1413640,973764,196.1398965,40.6,83,0.451,96.2,85.8,86071.6,84732,2,0,1,1,2,1,4,1,0,,0,,1,1,0,1,0,2,,,2,1,3,1,,,4,1,3,0,3,0,,48.15,52.38,58.85,58.33,62.5
Florida,22079838,21477737,157.9157828,42,91.2,0.481,91.5,80.87,1.82E+06,1834708,2,0,1,0,1,0,4,0,0,,2,0,0,,0,0,,1,0,0,2,0,2,1,0,0,3,0,2,1,3,1,,33.8,38.81,42.08,44.52,25
Georgia,7279616,10617423,72.58720581,36.7,75.1,0.48,90.6,78.3,871254,985505,2,0,1,1,2,1,3,1,0,,2,0,0,,0,0,,2,0,0,2,1,3,1,0,0,2,0,2,1,2,0,,45.37,50,49.11,48.99,50
Hawaii,1131093,1415872,84.55637272,39.1,91.9,0.44,99.6,88.62,117510,26357,2,0,2,0,2,1,4,1,1,1,2,1,2,1,2,1,0,2,0,0,2,1,3,1,0,0,3,1,2,1,2,1,,74.07,73.81,70.21,71.31,62.5
Idaho,1096824,1787065,8.880349646,36.4,75.1,0.434,81.7,77.68,145583,169150,1,1,1,1,1,1,4,0,0,,0,,0,,0,0,,0,,,2,1,2,1,,,3,0,2,1,1,1,,33.8,40,34.79,39.76,0
Illinois,18389512,12671821,87.25908783,38.1,88.5,0.48,95.5,84.69,1.12E+06,1174409,3,0,1,1,1,1,3,1,0,,1,1,2,0,0,1,0,2,,,2,1,3,1,,,4,0,2,1,3,0,,50,53.1,58.49,57.92,62.5
Indiana,8133596,6732219,73.35941012,37.7,72.4,0.458,93.3,88.14,581512,655541,2,0,1,1,1,1,3,1,0,,0,,2,0,0,1,0,1,0,0,2,1,2,2,,,2,1,3,1,2,1,,42.59,49.52,50.1,51.9,37.5
Iowa,2734777,3155070,22.00782304,38.2,64,0.442,92.3,82.9,263625,332641,2,0,0,,1,1,0,,0,,0,,0,,0,2,0,1,,,2,1,2,1,,,3,0,2,1,2,1,,22.22,30.95,38.18,34.7,62.5
Kansas,2504238,2913314,13.89967771,36.7,74.2,0.45,92.9,80.61,243252,290832,2,0,1,0,2,0,4,0,1,0,0,,0,,2,1,0,1,,,2,1,3,1,,,3,1,2,1,2,1,,44.91,48.33,50.68,52.56,37.5
Kentucky,3954639,4467673,43.62954392,38.9,58.4,0.476,93.3,79.39,373980,396997,2,0,1,1,1,0,4,1,2,0,1,0,1,1,0,1,0,1,2.64E+08,0,2,1,3,2,0,0,3,1,2,1,2,1,,50,61.9,56.67,59.4,37.5
Louisiana,5594088,4648794,41.31293096,36.9,73.2,0.489,90.9,78.16,401366,424176,2,0,2,1,2,0,4,0,1,0,1,1,0,,0,1,0,1,,,2,1,2,1,,,3,1,3,1,2,1,,48.61,55.48,51.93,53.99,37.5
Maine,1633308,1344212,16.98849498,44.7,38.7,0.449,93,85.41,116186,43594,1,1,0,,1,1,3,1,0,,1,1,2,1,0,0,,0,0,0,2,1,3,2,0,0,3,1,3,1,1,1,,43.52,47.14,47.5,54.29,0
Maryland,7982350,6045680,241.3138491,38.7,87.2,0.456,97.8,89.14,527816,376966,2,0,1,1,1,1,4,0,0,,1,1,2,1,0,0,,2,,,2,1,3,1,,,4,0,3,1,2,1,,50.46,54.29,57.4,58.45,50
Massachusetts,16522351,6892503,342.0865125,39.5,92,0.48,96,89.57,663089,549540,2,0,2,1,2,1,4,1,1,0,0,,2,1,2,0,,1,0,0,2,1,3,2,0,0,4,1,2,1,2,1,,65.74,72.62,65.52,71.31,25
Michigan,10538623,9986857,68.34008206,39.7,74.6,0.463,94.3,82.98,850019,636269,2,0,2,1,1,1,4,1,1,0,0,,0,,0,1,0,1,0,0,2,1,3,2,0,0,3,1,2,1,3,1,,43.52,51.19,55.1,57.62,37.5
Minnesota,7023826,5639632,27.79935542,38,73.3,0.443,93.8,84.85,488875,479036,2,0,1,1,1,1,4,1,1,0,1,1,1,1,2,1,0,1,,,2,1,3,1,,,2,1,2,1,2,1,,54.63,64.29,54.58,57.02,37.5
Mississippi,1642348,2976149,24.32443599,37.5,49.4,0.49,89.8,75.9,240928,290874,2,0,1,1,1,1,4,0,0,,1,1,0,,0,0,,0,,,2,1,1,1,,,3,0,0,,0,,,39.35,47.14,31.25,35.71,0
Missouri,4524474,6137428,34.74919427,38.6,70.4,0.463,87.7,78.68,506246,475348,1,1,1,0,2,0,4,0,0,,2,0,1,1,0,2,0,0,,,2,1,3,1,,,3,0,4,1,2,1,,45.83,45.95,52.92,55.12,37.5
Montana,1091522,1068778,2.70271511,39.9,55.9,0.46,86.8,81.29,90667.6,98779,1,1,1,1,1,1,3,1,0,,2,0,0,,0,0,,0,,,2,1,3,1,,,3,0,3,1,3,0,,37.96,47.14,43.59,49.82,0
Nebraska,2403686,1934408,9.652553964,36.5,73.1,0.44,86.5,83.25,167640,199045,1,1,0,,0,,0,,1,1,1,1,0,,1,1,1,2,,,2,1,3,2,,,2,1,3,1,2,1,,26.85,41.67,48.02,44.17,75
Nevada,2746308,3080156,11.1969626,38,94.2,0.471,95,81.59,257998,290972,2,0,1,1,1,1,4,1,0,,0,,0,,0,1,0,1,0,0,2,1,3,1,0,0,3,1,2,1,2,1,,37.04,42.86,46.25,47.5,37.5
New Hampshire,1474441,1359711,61.00414105,42.9,60.3,0.441,97.3,88.61,116057,73413,2,0,1,1,1,1,0,,0,,1,1,2,1,2,0,,1,,,2,1,3,2,,,3,1,3,1,2,1,,46.3,59.52,54.27,58.45,25
New Jersey,10806397,8882190,466.0253054,39.9,94.7,0.478,97.1,86,767844,766405,2,0,1,1,1,1,4,1,0,,1,1,1,1,0,0,,2,,,2,1,3,2,,,3,1,3,1,2,0,,46.3,52.38,56.35,57.26,50
New Mexico,2738734,2096829,6.563736695,37.8,77.4,0.477,95.9,85.77,182817,182789,2,0,2,0,2,0,4,0,2,0,1,1,0,,2,0,,1,0,0,2,1,3,2,0,0,3,1,3,1,3,1,,57.87,63.81,62.86,68.27,25
New York,38897265,19453561,158.301885,38.8,87.9,0.515,97.5,86.97,1.81E+06,1596794,2,0,2,0,2,0,4,0,1,1,1,1,2,1,2,2,1,2,,,2,1,3,2,,,3,1,2,1,2,1,,66.2,70.95,73.59,69.82,100
North Carolina,9605697,1048884,84.94247488,38.7,66.1,0.474,93.9,82.6,159517,842637,2,0,2,1,1,1,4,1,1,1,2,1,2,1,0,1,0,2,,,2,1,2,1,,,4,1,2,1,2,1,,64.81,70.24,64.48,64.76,62.5
North Dakota,1419620,762062,4.247123744,35.1,59.9,0.456,78.9,79.29,69948.6,99312,1,0,0,,1,1,0,,0,,0,,0,,0,0,,0,,,2,1,2,2,,,2,0,3,1,2,1,,18.52,27.38,31.09,35.54,0
Ohio,10144547,11689100,110.8113195,39.4,77.9,0.465,93.7,79.82,976800,953767,2,0,1,1,1,1,4,1,0,,0,,1,1,0,1,0,1,,,2,1,3,2,,,3,1,2,1,2,1,,42.59,52.38,52.5,54.64,37.5
Oklahoma,3527683,3956971,22.3939252,36.6,66.2,0.474,90.1,78.1,331438,422037,2,0,1,1,1,1,0,,1,0,1,1,1,1,0,0,,1,,,2,1,3,1,,,3,0,2,1,2,0,,37.96,52.38,43.39,46.01,25
Oregon,3787438,4217737,17.37459713,39.3,81,0.45,96.2,84.34,353505,152818,2,0,2,1,2,1,4,1,0,,1,1,1,0,2,1,0,2,0,0,2,1,2,1,0,0,3,1,3,1,2,1,,58.33,60.71,60.52,60.24,62.5
Pennsylvania,10569767,12801989,110.4252173,40.8,78.7,0.475,94.9,83.92,1.07E+06,913497,2,0,1,1,1,1,2,1,0,,1,1,2,1,2,1,1,1,,,2,1,3,2,,,3,1,3,1,3,1,,51.85,59.52,62.6,64.4,50
Puerto Rico,415664,3193694,322.3953024,43.6,93.58,0.551,93.8,,247409,99257,1,1,2,1,1,1,3,1,0,,1,1,2,1,2,0,,2,,,2,1,3,2,,,3,1,2,1,3,1,,56.48,65,63.96,65.95,50
Rhode Island,3065112,1059361,396.5269168,39.9,90.7,0.463,97.9,87.49,106260,123145,2,0,1,1,1,1,2,1,0,,1,1,0,,0,1,0,1,0,0,2,1,3,2,0,0,3,0,3,1,2,1,,35.19,45.24,48.8,50.42,37.5
South Carolina,5025335,5148714,67.9539799,39.4,66.3,0.475,91.8,80.14,434856,504149,1,1,0,,0,,0,,0,,0,,0,,0,0,,1,,,1,1,2,1,,,2,0,2,1,2,1,,9.26,16.67,24.64,24.58,25
South Dakota,696656,884659,4.633225903,37,56.7,0.436,76.7,80.86,73338.8,111304,2,0,2,0,1,1,4,0,1,0,1,1,0,,0,0,,1,0,0,2,1,3,1,0,0,3,0,2,1,2,1,,43.98,51.9,47.81,51.07,25
Tennessee,6834882,6829174,64.86516264,38.7,66.4,0.475,87.5,76.3,578185,765137,2,0,2,1,1,1,4,0,0,,1,0,1,0,1,0,,1,,,2,1,1,1,,,3,0,3,1,2,1,,46.76,51.9,46.46,49.52,25
Texas,19764177,28995881,44.01564607,34.6,84.7,0.475,94.2,81.4,2.38E+06,2588101,1,0,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,2,1,2,1,0,0,2,1,2,1,2,0,,12.96,17.86,23.33,26.67,0
Utah,2886369,3205958,15.44408634,30.8,90.6,0.427,93,83.86,268766,366735,2,0,2,1,2,1,4,1,0,,1,1,2,1,2,2,0,2,,,2,1,3,2,,,3,1,2,1,3,0,,66.67,67.86,73.33,71.31,87.5
Vermont,1094855,623989,26.25494678,42.9,38.9,0.447,94.7,89.72,56716.8,14493,2,0,1,1,2,1,4,1,0,,2,1,0,,0,0,,1,0,0,2,1,3,0,0,0,2,1,3,1,2,1,,50,53.57,48.54,51.9,25
Virginia,5972272,8535519,84.17027056,38.2,75.5,0.469,96.1,85.56,701407,565270,2,0,2,1,2,1,4,1,1,0,1,0,1,0,2,1,1,2,0,0,2,1,2,1,0,0,3,1,2,1,2,1,,59.26,63.1,61.35,59.4,75
Washington,5320381,7614893,45.17395255,37.7,84.1,0.458,95.9,86.17,625691,334614,1,1,1,1,2,1,3,1,0,,0,,2,1,1,0,,2,,,2,1,3,2,,,3,1,3,1,2,1,,51.85,60.71,60.52,62.02,50
West Virginia,2207676,1792147,28.57155973,42.5,48.7,0.464,94.4,79.95,155152,129616,2,0,0,,2,0,3,1,0,,1,0,1,1,2,0,,0,0,0,2,1,3,2,0,0,3,1,3,1,3,0,,46.3,49.52,52.19,59.64,0
Wisconsin,7008539,5822434,41.69903312,39.5,70.2,0.439,90.3,82.28,502713,612240,2,0,1,1,1,1,4,0,1,0,1,1,1,1,0,1,0,1,0,0,2,1,3,2,0,0,3,1,2,1,0,,,47.69,54.29,51.2,53.15,37.5
Wyoming,646179,578759,2.316612951,37.7,56,0.435,71.9,70.47,49553.3,53795,1,1,1,1,2,1,4,1,2,0,0,,0,,0,0,,0,,,2,1,3,1,,,2,1,3,1,2,1,,49.07,52.38,48.02,54.88,0
