,Date,State,District,Confirmed,Recovered,Deceased,Tested
130346,2021-02-11,Andaman and Nicobar Islands,Unknown,5007,4932,62,241833.0
130347,2021-02-11,Andhra Pradesh,Anantapur,67683,67057,599,787085.0
130348,2021-02-11,Andhra Pradesh,Chittoor,87182,86168,847,780322.0
130349,2021-02-11,Andhra Pradesh,East Godavari,124345,123616,636,944746.0
130350,2021-02-11,Andhra Pradesh,Guntur,75595,74847,671,833823.0
130351,2021-02-11,Andhra Pradesh,Krishna,48799,47980,679,782232.0
130352,2021-02-11,Andhra Pradesh,Kurnool,60844,60333,488,867361.0
130353,2021-02-11,Andhra Pradesh,Prakasam,62192,61551,580,697340.0
130354,2021-02-11,Andhra Pradesh,S.P.S. Nellore,62380,61808,507,682964.0
130355,2021-02-11,Andhra Pradesh,Srikakulam,46156,45798,347,670899.0
130356,2021-02-11,Andhra Pradesh,Visakhapatnam,59898,59274,564,744983.0
130357,2021-02-11,Andhra Pradesh,Vizianagaram,41148,40895,238,531433.0
130358,2021-02-11,Andhra Pradesh,West Godavari,94271,93693,542,793098.0
130359,2021-02-11,Andhra Pradesh,Y.S.R. Kadapa,55304,54763,463,671761.0
130360,2021-02-11,Arunachal Pradesh,Anjaw,204,204,0,2845.0
130361,2021-02-11,Arunachal Pradesh,Capital Complex,0,0,0,115210.0
130362,2021-02-11,Arunachal Pradesh,Changlang,1282,1278,4,23861.0
130363,2021-02-11,Arunachal Pradesh,East Kameng,304,304,0,7489.0
130364,2021-02-11,Arunachal Pradesh,East Siang,1144,1140,4,21867.0
130365,2021-02-11,Arunachal Pradesh,Kamle,30,30,0,1385.0
130366,2021-02-11,Arunachal Pradesh,Kra Daadi,37,37,0,3218.0
130367,2021-02-11,Arunachal Pradesh,Kurung Kumey,117,117,0,4201.0
130368,2021-02-11,Arunachal Pradesh,Lepa Rada,286,286,0,6747.0
130369,2021-02-11,Arunachal Pradesh,Lohit,573,572,0,14945.0
130370,2021-02-11,Arunachal Pradesh,Longding,250,250,0,10342.0
130371,2021-02-11,Arunachal Pradesh,Lower Dibang Valley,475,474,0,12169.0
130372,2021-02-11,Arunachal Pradesh,Lower Siang,287,287,0,7070.0
130373,2021-02-11,Arunachal Pradesh,Lower Subansiri,381,380,1,10564.0
130374,2021-02-11,Arunachal Pradesh,Namsai,431,426,4,19987.0
130375,2021-02-11,Arunachal Pradesh,Pakke Kessang,132,132,0,3327.0
130376,2021-02-11,Arunachal Pradesh,Papum Pare,6779,6750,29,41960.0
130377,2021-02-11,Arunachal Pradesh,Shi Yomi,104,104,0,2169.0
130378,2021-02-11,Arunachal Pradesh,Siang,133,132,1,4270.0
130379,2021-02-11,Arunachal Pradesh,Tawang,492,490,2,14224.0
130380,2021-02-11,Arunachal Pradesh,Tirap,587,585,2,14657.0
130381,2021-02-11,Arunachal Pradesh,Upper Dibang Valley,23,23,0,1910.0
130382,2021-02-11,Arunachal Pradesh,Upper Siang,361,361,0,6564.0
130383,2021-02-11,Arunachal Pradesh,Upper Subansiri,441,439,2,6217.0
130384,2021-02-11,Arunachal Pradesh,West Kameng,949,944,4,28155.0
130385,2021-02-11,Arunachal Pradesh,West Siang,1030,1026,3,13192.0
130386,2021-02-11,Assam,Unknown,217277,214530,1086,6636931.0
130387,2021-02-11,Bihar,Araria,7252,7228,22,219221.0
130388,2021-02-11,Bihar,Arwal,2427,2406,12,101624.0
130389,2021-02-11,Bihar,Aurangabad,5524,5473,16,412007.0
130390,2021-02-11,Bihar,Banka,3592,3558,20,364776.0
130391,2021-02-11,Bihar,Begusarai,8109,8055,36,213670.0
130392,2021-02-11,Bihar,Bhagalpur,9546,9456,80,582113.0
130393,2021-02-11,Bihar,Bhojpur,5107,5056,48,466438.0
130394,2021-02-11,Bihar,Buxar,4025,4003,20,461428.0
130395,2021-02-11,Bihar,Darbhanga,4258,4211,39,448442.0
130396,2021-02-11,Bihar,East Champaran,8448,8383,53,548132.0
130397,2021-02-11,Bihar,Gaya,8072,7963,60,872359.0
130398,2021-02-11,Bihar,Gopalganj,5819,5798,15,562654.0
130399,2021-02-11,Bihar,Jamui,3165,3147,10,342005.0
130400,2021-02-11,Bihar,Jehanabad,4583,4554,25,492255.0
130401,2021-02-11,Bihar,Kaimur,2253,2240,10,442332.0
130402,2021-02-11,Bihar,Katihar,7227,7212,12,556438.0
130403,2021-02-11,Bihar,Khagaria,3133,3118,14,148340.0
130404,2021-02-11,Bihar,Kishanganj,4318,4302,13,294321.0
130405,2021-02-11,Bihar,Lakhisarai,3841,3828,9,332434.0
130406,2021-02-11,Bihar,Madhepura,4875,4848,17,455482.0
130407,2021-02-11,Bihar,Madhubani,7728,7689,34,715168.0
130408,2021-02-11,Bihar,Munger,4257,4198,55,325212.0
130409,2021-02-11,Bihar,Muzaffarpur,11918,11849,51,722651.0
130410,2021-02-11,Bihar,Nalanda,8331,8261,58,591346.0
130411,2021-02-11,Bihar,Nawada,4241,4210,25,322514.0
130412,2021-02-11,Bihar,Patna,52537,51800,429,676238.0
130413,2021-02-11,Bihar,Purnia,9400,9368,25,568756.0
130414,2021-02-11,Bihar,Rohtas,6846,6790,45,521553.0
130415,2021-02-11,Bihar,Saharsa,6853,6828,12,356327.0
130416,2021-02-11,Bihar,Samastipur,5328,5281,35,614569.0
130417,2021-02-11,Bihar,Saran,7425,7325,64,761473.0
130418,2021-02-11,Bihar,Sheikhpura,2999,2986,13,142348.0
130419,2021-02-11,Bihar,Sheohar,1536,1519,1,199431.0
130420,2021-02-11,Bihar,Sitamarhi,4459,4439,17,453227.0
130421,2021-02-11,Bihar,Siwan,4814,4763,35,536438.0
130422,2021-02-11,Bihar,Supaul,5632,5613,19,456511.0
130423,2021-02-11,Bihar,Vaishali,5633,5564,49,275884.0
130424,2021-02-11,Bihar,West Champaran,6057,6025,23,551778.0
130425,2021-02-11,Chandigarh,Chandigarh,21184,20700,344,230418.0
130426,2021-02-11,Chhattisgarh,Balod,9832,9526,100,2749.0
130427,2021-02-11,Chhattisgarh,Baloda Bazar,10004,9713,146,3816.0
130428,2021-02-11,Chhattisgarh,Balrampur,3770,3692,15,21481.0
130429,2021-02-11,Chhattisgarh,Bametara,5054,4882,58,3113.0
130430,2021-02-11,Chhattisgarh,Bastar,9057,8928,86,4522.0
130431,2021-02-11,Chhattisgarh,Bijapur,4115,4083,28,1239.0
130432,2021-02-11,Chhattisgarh,Bilaspur,21445,21169,217,9823.0
130433,2021-02-11,Chhattisgarh,Dakshin Bastar Dantewada,6090,6062,17,1168.0
130434,2021-02-11,Chhattisgarh,Dhamtari,8326,8044,129,1501.0
130435,2021-02-11,Chhattisgarh,Durg,27015,25718,625,5020.0
130436,2021-02-11,Chhattisgarh,Gariaband,4634,4555,56,2096.0
130437,2021-02-11,Chhattisgarh,Gaurela Pendra Marwahi,1498,1480,10,273.0
130438,2021-02-11,Chhattisgarh,Janjgir Champa,20592,20345,239,4016.0
130439,2021-02-11,Chhattisgarh,Jashpur,3980,3925,33,2542.0
130440,2021-02-11,Chhattisgarh,Kabeerdham,5957,5876,73,2829.0
130441,2021-02-11,Chhattisgarh,Kondagaon,5280,5204,34,1607.0
130442,2021-02-11,Chhattisgarh,Korba,16988,16749,124,10034.0
130443,2021-02-11,Chhattisgarh,Koriya,5373,5293,37,2689.0
130444,2021-02-11,Chhattisgarh,Mahasamund,9405,9214,146,2183.0
130445,2021-02-11,Chhattisgarh,Mungeli,4121,4065,28,2922.0
130446,2021-02-11,Chhattisgarh,Narayanpur,1965,1962,2,804.0
130447,2021-02-11,Chhattisgarh,Raigarh,24004,23448,316,5084.0
130448,2021-02-11,Chhattisgarh,Raipur,54414,52505,791,12704.0
130449,2021-02-11,Chhattisgarh,Rajnandgaon,19770,19464,181,124947.0
130450,2021-02-11,Chhattisgarh,Sukma,4012,4000,10,1723.0
130451,2021-02-11,Chhattisgarh,Surajpur,6454,6324,44,1830.0
130452,2021-02-11,Chhattisgarh,Surguja,8179,8043,91,103578.0
130453,2021-02-11,Chhattisgarh,Uttar Bastar Kanker,6661,6574,61,2051.0
130454,2021-02-11,Delhi,Delhi,636529,624592,10886,11388092.0
130455,2021-02-11,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,1656,1650,1,44813.0
130456,2021-02-11,Dadra and Nagar Haveli and Daman and Diu,Daman,1412,1387,1,19338.0
130457,2021-02-11,Dadra and Nagar Haveli and Daman and Diu,Diu,312,309,0,8259.0
130458,2021-02-11,Goa,Unknown,54113,52653,776,468179.0
130459,2021-02-11,Gujarat,Ahmedabad,61617,58744,2303,2556492.0
130460,2021-02-11,Gujarat,Amreli,3918,3853,33,212265.0
130461,2021-02-11,Gujarat,Anand,2556,2514,17,171851.0
130462,2021-02-11,Gujarat,Aravalli,1207,1177,26,122182.0
130463,2021-02-11,Gujarat,Banaskantha,4702,4658,39,218527.0
130464,2021-02-11,Gujarat,Bharuch,4145,4113,18,156057.0
130465,2021-02-11,Gujarat,Bhavnagar,6076,5968,68,392834.0
130466,2021-02-11,Gujarat,Botad,1047,1032,14,98559.0
130467,2021-02-11,Gujarat,Chhota Udaipur,920,909,3,93838.0
130468,2021-02-11,Gujarat,Dahod,3315,3288,7,218259.0
130469,2021-02-11,Gujarat,Dang,183,182,1,31921.0
130470,2021-02-11,Gujarat,Devbhumi Dwarka,1116,1091,5,80424.0
130471,2021-02-11,Gujarat,Gandhinagar,8644,8512,107,292598.0
130472,2021-02-11,Gujarat,Gir Somnath,2534,2467,24,121948.0
130473,2021-02-11,Gujarat,Jamnagar,10543,10437,35,307911.0
130474,2021-02-11,Gujarat,Junagadh,5362,5297,33,199699.0
130475,2021-02-11,Gujarat,Kheda,3222,3195,17,218140.0
130476,2021-02-11,Gujarat,Kutch,4474,4408,33,267060.0
130477,2021-02-11,Gujarat,Mahisagar,2037,1994,10,122796.0
130478,2021-02-11,Gujarat,Mehsana,6992,6934,38,229904.0
130479,2021-02-11,Gujarat,Morbi,3295,3245,19,157321.0
130480,2021-02-11,Gujarat,Narmada,2108,2081,1,76134.0
130481,2021-02-11,Gujarat,Navsari,1638,1621,8,129099.0
130482,2021-02-11,Gujarat,Other State,162,159,3,108.0
130483,2021-02-11,Gujarat,Panchmahal,4283,4245,22,160981.0
130484,2021-02-11,Gujarat,Patan,4237,4179,53,169059.0
130485,2021-02-11,Gujarat,Porbandar,728,724,4,97912.0
130486,2021-02-11,Gujarat,Rajkot,22679,22265,200,731251.0
130487,2021-02-11,Gujarat,Sabarkantha,3022,2978,13,182090.0
130488,2021-02-11,Gujarat,Surat,52858,51625,976,1938229.0
130489,2021-02-11,Gujarat,Surendranagar,3540,3499,13,201153.0
130490,2021-02-11,Gujarat,Tapi,1074,1066,7,92524.0
130491,2021-02-11,Gujarat,Vadodara,28806,28415,240,695670.0
130492,2021-02-11,Gujarat,Valsad,1410,1395,9,155380.0
130493,2021-02-11,Himachal Pradesh,Bilaspur,2935,2892,24,39738.0
130494,2021-02-11,Himachal Pradesh,Chamba,2968,2900,52,53505.0
130495,2021-02-11,Himachal Pradesh,Hamirpur,3043,2987,49,46407.0
130496,2021-02-11,Himachal Pradesh,Kangra,8300,7997,205,94910.0
130497,2021-02-11,Himachal Pradesh,Kinnaur,1373,1344,16,6730.0
130498,2021-02-11,Himachal Pradesh,Kullu,4429,4333,83,12012.0
130499,2021-02-11,Himachal Pradesh,Lahaul and Spiti,1258,1246,12,540.0
130500,2021-02-11,Himachal Pradesh,Mandi,10222,9906,125,41895.0
130501,2021-02-11,Himachal Pradesh,Shimla,10424,10125,265,32922.0
130502,2021-02-11,Himachal Pradesh,Sirmaur,3459,3409,31,42564.0
130503,2021-02-11,Himachal Pradesh,Solan,6746,6659,73,57200.0
130504,2021-02-11,Himachal Pradesh,Una,2955,2832,42,52905.0
130505,2021-02-11,Haryana,Ambala,11884,11710,144,206003.0
130506,2021-02-11,Haryana,Bhiwani,6331,6177,145,176225.0
130507,2021-02-11,Haryana,Charkhi Dadri,1518,1487,26,58525.0
130508,2021-02-11,Haryana,Faridabad,46357,45886,415,504970.0
130509,2021-02-11,Haryana,Fatehabad,4725,4602,118,27456.0
130510,2021-02-11,Haryana,Gurugram,58469,57749,356,742619.0
130511,2021-02-11,Haryana,Hisar,17110,16771,324,322039.0
130512,2021-02-11,Haryana,Jhajjar,5918,5816,102,186853.0
130513,2021-02-11,Haryana,Jind,4906,4798,94,11157.0
130514,2021-02-11,Haryana,Kaithal,3898,3822,54,11687.0
130515,2021-02-11,Haryana,Karnal,11198,11002,153,185147.0
130516,2021-02-11,Haryana,Kurukshetra,8900,8716,134,198881.0
130517,2021-02-11,Haryana,Mahendragarh,6614,6592,21,143253.0
130518,2021-02-11,Haryana,Nuh,1708,1677,30,93389.0
130519,2021-02-11,Haryana,Palwal,4428,4390,35,139809.0
130520,2021-02-11,Haryana,Panchkula,10636,10401,147,118725.0
130521,2021-02-11,Haryana,Panipat,10785,10591,153,58863.0
130522,2021-02-11,Haryana,Rewari,11377,11272,76,151363.0
130523,2021-02-11,Haryana,Rohtak,12295,12123,150,25894.0
130524,2021-02-11,Haryana,Sirsa,8075,7936,116,150193.0
130525,2021-02-11,Haryana,Sonipat,14802,14716,86,238963.0
130526,2021-02-11,Haryana,Yamunanagar,6849,6667,155,196131.0
130527,2021-02-11,Jharkhand,Bokaro,6708,6624,65,11798.0
130528,2021-02-11,Jharkhand,Deoghar,3660,3633,23,6951.0
130529,2021-02-11,Jharkhand,Dumka,1409,1377,14,5400.0
130530,2021-02-11,Jharkhand,Giridih,3424,3410,14,11132.0
130531,2021-02-11,Jharkhand,Godda,2108,2098,10,10980.0
130532,2021-02-11,Jharkhand,Jamtara,1270,1266,4,2880.0
130533,2021-02-11,Jharkhand,Khunti,2137,2128,7,3852.0
130534,2021-02-11,Jharkhand,Lohardaga,1803,1774,10,7526.0
130535,2021-02-11,Jharkhand,Pakur,903,901,2,6429.0
130536,2021-02-11,Jharkhand,Sahibganj,1644,1633,9,5029.0
130537,2021-02-11,Jharkhand,Saraikela-Kharsawan,3691,3674,12,161796.0
130538,2021-02-11,Jammu and Kashmir,Pulwama,5773,5635,88,139552.0
130539,2021-02-11,Karnataka,Bagalkote,13765,13623,136,49851.0
130540,2021-02-11,Karnataka,Ballari,39188,38557,597,402407.0
130541,2021-02-11,Karnataka,Belagavi,26785,26359,342,396565.0
130542,2021-02-11,Karnataka,Bengaluru Rural,18745,18511,160,240277.0
130543,2021-02-11,Karnataka,Bengaluru Urban,401323,392985,4417,6883888.0
130544,2021-02-11,Karnataka,Bidar,7473,7239,172,67689.0
130545,2021-02-11,Karnataka,Chamarajanagara,6944,6798,120,5156.0
130546,2021-02-11,Karnataka,Chikkaballapura,13665,13520,117,15089.0
130547,2021-02-11,Karnataka,Chikkamagaluru,13976,13818,139,5467.0
130548,2021-02-11,Karnataka,Chitradurga,14819,14595,69,4393.0
130549,2021-02-11,Karnataka,Dakshina Kannada,34118,33046,738,131281.0
130550,2021-02-11,Karnataka,Davanagere,22380,22075,264,17483.0
130551,2021-02-11,Karnataka,Dharwad,22237,21585,614,137696.0
130552,2021-02-11,Karnataka,Gadag,11000,10848,141,8904.0
130553,2021-02-11,Karnataka,Hassan,28608,28117,395,10800.0
130554,2021-02-11,Karnataka,Haveri,11005,10811,190,11714.0
130555,2021-02-11,Karnataka,Kalaburagi,21769,21278,328,409596.0
130556,2021-02-11,Karnataka,Kodagu,6103,5960,72,143982.0
130557,2021-02-11,Karnataka,Kolar,10041,9823,177,91924.0
130558,2021-02-11,Karnataka,Koppal,13935,13651,279,8708.0
130559,2021-02-11,Karnataka,Mandya,19710,19530,151,14874.0
130560,2021-02-11,Karnataka,Mysuru,53709,52469,1027,107338.0
130561,2021-02-11,Karnataka,Raichur,14283,14108,158,21011.0
130562,2021-02-11,Karnataka,Ramanagara,7422,7337,77,103399.0
130563,2021-02-11,Karnataka,Shivamogga,22391,21992,349,48760.0
130564,2021-02-11,Karnataka,Tumakuru,25422,24717,385,106564.0
130565,2021-02-11,Karnataka,Udupi,23431,23192,189,86092.0
130566,2021-02-11,Karnataka,Uttara Kannada,14645,14427,178,13833.0
130567,2021-02-11,Karnataka,Vijayapura,14454,14222,206,25108.0
130568,2021-02-11,Karnataka,Yadgir,10675,10603,61,221485.0
130569,2021-02-11,Kerala,Idukki,25431,21910,36,237691.0
130570,2021-02-11,Kerala,Kannur,50146,46129,267,392136.0
130571,2021-02-11,Kerala,Kozhikode,111392,105007,421,955060.0
130572,2021-02-11,Kerala,Malappuram,110832,107347,396,469850.0
130573,2021-02-11,Kerala,Palakkad,57151,53391,171,226562.0
130574,2021-02-11,Kerala,Pathanamthitta,50076,42770,95,306034.0
130575,2021-02-11,Kerala,Thiruvananthapuram,97500,92535,783,436661.0
130576,2021-02-11,Kerala,Thrissur,92400,87459,403,639055.0
130577,2021-02-11,Kerala,Wayanad,24901,22488,76,211953.0
130578,2021-02-11,Ladakh,Kargil,2112,2062,44,37471.0
130579,2021-02-11,Ladakh,Leh,7650,7518,86,72597.0
130580,2021-02-11,Lakshadweep,Lakshadweep,187,116,0,12738.0
130581,2021-02-11,Maharashtra,Ahmednagar,72918,70801,1112,11077.0
130582,2021-02-11,Maharashtra,Aurangabad,49791,47975,1249,11800.0
130583,2021-02-11,Maharashtra,Beed,18446,17347,546,111488.0
130584,2021-02-11,Maharashtra,Bhandara,13625,13143,310,54195.0
130585,2021-02-11,Maharashtra,Buldhana,15429,14662,250,115874.0
130586,2021-02-11,Maharashtra,Chandrapur,24269,23626,410,199809.0
130587,2021-02-11,Maharashtra,Dhule,16242,15766,337,90092.0
130588,2021-02-11,Maharashtra,Gadchiroli,8877,8730,99,11993.0
130589,2021-02-11,Maharashtra,Gondia,14428,13931,173,130146.0
130590,2021-02-11,Maharashtra,Hingoli,4453,4286,100,6797.0
130591,2021-02-11,Maharashtra,Jalgaon,57872,55828,1490,429198.0
130592,2021-02-11,Maharashtra,Jalna,13563,13089,366,117047.0
130593,2021-02-11,Maharashtra,Mumbai,312303,295846,11405,2789713.0
130594,2021-02-11,Maharashtra,Nagpur,138838,131926,3422,382083.0
130595,2021-02-11,Maharashtra,Nanded,22496,21514,677,117319.0
130596,2021-02-11,Maharashtra,Nandurbar,9916,9338,213,37740.0
130597,2021-02-11,Maharashtra,Nashik,123140,120056,2015,498397.0
130598,2021-02-11,Maharashtra,Osmanabad,17670,16925,555,109450.0
130599,2021-02-11,Maharashtra,Palghar,48281,46889,938,319724.0
130600,2021-02-11,Maharashtra,Parbhani,8012,7607,296,110937.0
130601,2021-02-11,Maharashtra,Pune,392908,380269,8007,97127.0
130602,2021-02-11,Maharashtra,Raigad,69231,67038,1543,304088.0
130603,2021-02-11,Maharashtra,Satara,57186,54564,1825,312742.0
130604,2021-02-11,Maharashtra,Solapur,56629,54171,1824,629266.0
130605,2021-02-11,Maharashtra,Thane,271656,261548,5760,1229625.0
130606,2021-02-11,Maharashtra,Wardha,11138,10561,299,52365.0
130607,2021-02-11,Maharashtra,Yavatmal,16075,15168,456,141551.0
130608,2021-02-11,Manipur,Unknown,29155,28729,373,530329.0
130609,2021-02-11,Madhya Pradesh,Anuppur,2105,2077,15,3424.0
130610,2021-02-11,Madhya Pradesh,Ashoknagar,1135,1117,17,55792.0
130611,2021-02-11,Madhya Pradesh,Balaghat,3185,3160,14,9654.0
130612,2021-02-11,Madhya Pradesh,Barwani,2928,2874,30,41588.0
130613,2021-02-11,Madhya Pradesh,Betul,3632,3514,75,68036.0
130614,2021-02-11,Madhya Pradesh,Bhind,1506,1491,10,44395.0
